suite_name,run,host_idx,exp_name,mpc.script_name,mpc_type,network_type,mpc.protocol_setup,mpc.domain,mpc.script_args.dataset,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds
audit_knnshapley,19,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,sha3s,3.1723999999999997,1441.619879143,242291684100.0,271013500.0,25893
audit_knnshapley,19,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,sha3s,3.17274,1441.619880362,242291684100.0,271013500.0,25894
audit_knnshapley,21,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,sha3s,46.1955,30517.396528437996,4020730484300.0,8102779000.0,179860
audit_knnshapley,21,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,sha3s,46.1163,30517.396527723995,4020730484300.0,8102779000.0,179786
audit_knnshapley,21,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,sha3s,46.195,30517.396530350998,4020730484300.0,8102779000.0,179794
audit_knnshapley,23,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,sha3s,2175.2611,49069.43871463899,12803645782000.0,2792052170000.0,92031685
audit_knnshapley,23,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,sha3s,2175.2608,49069.438714776996,12803645782000.0,2792052170000.0,92031536
audit_knnshapley,23,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,sha3s,2175.2606,49069.43871455899,12803645782000.0,2792052170000.0,92031618
audit_knnshapley,25,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,cerebro,3.0582599999999998,114.53582457899999,16654333080.0,271013500.0,25956
audit_knnshapley,25,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,cerebro,3.05857,113.10781828199998,16654333080.0,271013500.0,25893
