suite_name,exp_name,run,host_idx,mpc.script_name,mpc.domain,mpc.script_args.dataset,mpc_type,network_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
train_3pc,sh,7,0,training,ring,adult,sh,lan,cerebro,12.361361,350.41062735699995,20268969898.0,1334999070.0,897886,0.233124,796176.0,,,0.002543,726.0,0.000285,96.0,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,sh,7,1,training,ring,adult,sh,lan,cerebro,12.393813,350.136149999,20268969898.0,1334999070.0,895228,0.232899,796176.0,,,0.002564,726.0,0.000259,96.0,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,sh,7,2,training,ring,adult,sh,lan,cerebro,12.393611,350.57922544699994,20268969898.0,1334999070.0,897886,0.240065,796176.0,,,0.002539,726.0,0.000154,96.0,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,7,0,training,ring,adult,sh,wan,cerebro,2120.8881699999997,149464.50506354502,20485808988.0,1800642869.9999998,39608,7.144647,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,7,1,training,ring,adult,sh,wan,cerebro,2121.48027,149464.28769290404,20485808988.0,1800642869.9999998,39514,7.06324,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,7,2,training,ring,adult,sh,wan,cerebro,2121.43316,149464.738343286,20485808988.0,1800642869.9999998,39608,7.351933,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,25,0,training,ring,adult,mal,wan,cerebro,18273.2692,212276.77345354902,843514639250.0,43993076800.0,186182,21.427329,59643890.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,25,1,training,ring,adult,mal,wan,cerebro,18273.2287,212276.794495599,843514639250.0,43993076800.0,186181,21.468369,59643890.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,25,2,training,ring,adult,mal,wan,cerebro,18273.2287,212276.77064651402,843514639250.0,43993076800.0,186182,21.428047,59643890.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,mal,9,0,training,ring,mnist_full,mal,lan,cerebro,2651.9099400000005,81423.823765471,119952959278740.0,5438366844000.0,7457449,3.229508,4264583808.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc,mal,9,1,training,ring,mnist_full,mal,lan,cerebro,2651.9096400000003,81423.650386668,119952959278740.0,5438366844000.0,7457446,3.222249,4264583808.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc,mal,9,2,training,ring,mnist_full,mal,lan,cerebro,2651.8802400000004,81425.456752994,119952959278740.0,5438366844000.0,7457445,3.23507,4264583808.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc,sh,9,0,training,ring,mnist_full,sh,lan,cerebro,370.1558,80827.536497879,2862098388366.0,541833127000.0,18236571,0.683714,98825256.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc,sh,9,1,training,ring,mnist_full,sh,lan,cerebro,371.0425,80826.828190318,2862098388366.0,541833127000.0,17253231,0.669569,98825256.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc,sh,9,2,training,ring,mnist_full,sh,lan,cerebro,371.04185,80826.93463347,2862098388366.0,541833127000.0,18236567,0.674202,98825256.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc_wan,wan,9,0,training,ring,mnist_full,sh,wan,cerebro,18621.214429999996,20344264.940665647,2862098388366.0,555034597000.0,162053,8.5006,98825256.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc_wan,wan,9,1,training,ring,mnist_full,sh,wan,cerebro,18625.025999999998,20344265.647874285,2862098388366.0,555034597000.0,151218,8.39068,98825256.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc_wan,wan,9,2,training,ring,mnist_full,sh,wan,cerebro,18624.934999999998,20344264.501376566,2862098388366.0,555034597000.0,162050,8.63821,98825256.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc_wan,wan,27,0,training,ring,mnist_full,mal,wan,cerebro,185488.8518,28877075.548744053,119952959278740.0,5655425054000.0,760941,39.633572,4264583808.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc_wan,wan,27,1,training,ring,mnist_full,mal,wan,cerebro,185488.8108,28877076.605476808,119952959278740.0,5655425054000.0,760939,39.675315,4264583808.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc_wan,wan,27,2,training,ring,mnist_full,mal,wan,cerebro,185488.8108,28877075.791219622,119952959278740.0,5655425054000.0,760938,39.632546,4264583808.0,,,,,,,9,1507200000,13794560,25088,32,32,0,192,64,64,64,96,32,96,96,1520994848,1521020096
train_3pc,mal,11,0,training,ring,cifar_alexnet,mal,lan,cerebro,11459.33494,756607.1040057379,1078791600745410.0,23218562800000.0,35412850,17.261683,24466581720.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc,mal,11,1,training,ring,cifar_alexnet,mal,lan,cerebro,11459.335040000002,756607.761337859,1078791600745410.0,23218562800000.0,35412843,17.267059,24466581720.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc,mal,11,2,training,ring,cifar_alexnet,mal,lan,cerebro,11459.22414,756626.661150607,1078791600745410.0,23218562800000.0,35412845,17.260583,24466581720.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc,sh,11,0,training,ring,cifar_alexnet,sh,lan,cerebro,1374.1462900000001,691874.8905182199,25714874664250.0,1788539825000.0,62524932,4.106799,1159519464.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
